"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu_b[1]",-0.504866345817914,0.0023124629596652,0.0166476978462211,-0.535492109023286,-0.516594903594165,-0.50615212222037,-0.494907424109086,-0.466419960972184,51.8273256863479,1.00142934735655
"mu_b[2]",0.00420574786010472,0.000308522958729822,0.00547813644512697,-0.00631753887367383,0.000477288352144519,0.00426155665239367,0.00785420773320558,0.0147781976610813,315.275857129014,1.0176204811418
"mu_b[3]",-0.0943100780883808,0.00010135274465787,0.00239356521552737,-0.0988825455015439,-0.095945863623496,-0.094341827915444,-0.0926361536379873,-0.0896405982056765,557.724216057233,1.00159782150182
"sigma",0.304792983514917,9.56278128543467e-06,0.000548566362213491,0.303712220084537,0.304426001298358,0.304782357334639,0.305151132315001,0.305886214300864,3290.71219668933,0.999433469777424
"L_Omega[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"L_Omega[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"L_Omega[1,3]",0,NA,0,0,0,0,0,0,NA,NA
"L_Omega[2,1]",0.124084903853761,0.00248709652621727,0.0388128623420924,0.0479763053753624,0.0982532716280184,0.124880008835875,0.149740947298821,0.20074311592577,243.537622543808,1.01162354619122
"L_Omega[2,2]",0.99150021025974,0.000299087682830072,0.00495952869863312,0.979643909408077,0.988725263913678,0.992171851631095,0.995161441211427,0.998848471161532,274.96901580248,1.01254120364056
"L_Omega[2,3]",0,NA,0,0,0,0,0,0,NA,NA
"L_Omega[3,1]",-0.00822451274985089,0.001718706421942,0.0412862183261174,-0.0907302937952854,-0.0353367256567445,-0.00877057694592086,0.0204400647460282,0.0717755317947039,577.041183938561,1.0028421454983
"L_Omega[3,2]",-0.0498003830988646,0.0024152627356816,0.0443419392133797,-0.130705757523525,-0.081205000248036,-0.0505980732310373,-0.0211916769208905,0.0406445505152325,337.054867192649,1.00051305812552
"L_Omega[3,3]",0.996882760936967,0.000126402250971356,0.00284960047348037,0.989145846114686,0.995638677249887,0.997615836386082,0.999006575217068,0.999895778322751,508.227701087585,1.00058703246495
"tau[1]",0.504050191229136,0.00118651892671114,0.0145160933336584,0.475730526809802,0.494462441931696,0.50361516347696,0.513497664912984,0.53407034294964,149.675308974742,1.00843332683425
"tau[2]",0.157406378315626,0.000190807076162479,0.00468543353335369,0.148534308982066,0.154125509348927,0.157625792185893,0.160612055670286,0.166664955056325,602.990693808794,1.00358852396232
"tau[3]",0.0608073133945071,8.53930395008619e-05,0.00198970058450438,0.0570369716851461,0.059475869275153,0.0606887409855476,0.0620933692376845,0.0648127781274366,542.913337148856,1.00356684402381
